,Tweets,class
810,how do i know if i have covid  or the regular flu ,0
493,the easing covid  pandemic is expected to reduce demand for medical masks this year   said  a trend that america s largest manufacturer of respirators projected will dent its earnings https   t co ,1
691,the wealthy have already learned how to live with covid   albeit at a very high cost   now the rest of the world must figure out how to do the same  on a budget   yasmeenserhan writes   https   t co ,1
730,what s the best way to respond to the coronavirus outbreak ,0
114,the us canada border crossing at emerson  manitoba  and pembina  north dakota  has been shut down by protesters demonstrating against covid  mandates  according to the royal canadian mounted police in manitoba    follow live updates  https   t co ,1
95,as of monday  about   of the us population is fully vaccinated against covid  with at least their initial two dose series  and   have received a booster shot  but the pace of booster doses going into arms is the lowest it has been in months https   t co ,1
109,vitamin c protects against coronavirus,0
261,pfizer and biontech are delaying their request to the food and drug administration to authorize a two dose series of their covid  vaccine for children under five  the companies said on friday  https   t co ,1
406,bill gates will use microchip implants to fight coronavirus,0
51,britain s queen elizabeth ii spoke with uk prime minister boris johnson on wednesday  despite the monarch suffering mild symptoms after her positive covid  diagnosis  https   t co ,1
813,how reliable is the test for covid  ,0
169,the white house is unveiling a new covid  strategy  here s what you need to know  https   t co  https   t co ,1
247,as more and more countries ease covid restrictions and prepare to  live with the virus   experts warn covid  will remain a permanent fixture in our lives and could still cause widespread and serious disease https   t co ,1
302,breaking news  hawaii became the  and final u s  state to announce it will drop its indoor mask mandate  as the country attempts to move on from the omicron wave  https   t co ,1
460,research confirms that covid  vaccinations can affect menstrual cycles  with one recent study linking vaccination to a slight increase in menstrual cycle length https   t co ,1
599,scientists  strongly condemn  rumors and conspiracy theories about origin of coronavirus outbreak,0
89,getting vaccinated against covid  during pregnancy might not only protect the mother but her baby  too  a new cdc study suggests https   t co ,1
525,new york state will drop its indoor mask mandate for businesses effective thursday  according to people familiar with the matter  continuing a push by governors across the u s  to roll back some covid  restrictions https   t co ,1
817,if i get sick with covid   how long until i will feel better ,0
381,are face masks effective in protecting against covid  ,0
228,people who have been vaccinated against covid  are less likely to suffer from long covid if they catch the virus than people who haven t  according to a new review of studies by the u k  health security agency  https   t co bjbpiagiyh,1
437,life insurers think the deferral of medical treatment during the pandemic contributed to an increase in death benefit claims not directly tied to covid  https   t co ,1
230,people who have been vaccinated against covid  are less likely to suffer from long covid if they catch the virus than people who haven t  according to a new review of studies by the u k  health security agency https   t co ,1
352,pandemic and the politics of survival  the horizons of a new type of dictatorship,0
696,what is viral load  and does it mean doctors and nurses face greater risk of infection or getting more severely ill ,0
442,canada is set to extend the use of the special emergency powers invoked last week by prime minister justin trudeau to quell protests against covid  mandates https   t co ,1
743,digital handshake  can contact tracing deliver on its promise in coronavirus battle ,0
164,if you ve been exposed to the coronavirus,0
778,should i go to the doctor or dentist for nonurgent appointments ,0
717,can my kids go and play with friends ,0
370,are children also at risk of infection and what is their potential role in transmission ,0
203,was coronavirus a  plan demic  as part of population control  these videos certainly make one consider that possibility,0
141,the skripals got caught in a power struggle among us and uk billionaires,0
904,what is a coronavirus ,0
462,how long can the virus that causes covid  live on surfaces ,0
1071,china   western china bashing   vs  western bio warfare ,0
738,after recovery from the coronavirus  most people carry antibodies,0
204,new york hospitals treating coronavirus patients with vitamin c,0
311,visualizing the secret history of coronavirus bioweapon,0
1094,virtual treatment and social distancing,0
354,ground control to planet lockdown  this is only a test,0
639,it s now clear that fauci is trying to deprive america of a coronavirus cure,0
1097,when does a major outbreak become a public health emergency of international concern ,0
326,breaking news  the white house has issued a new covid strategy that includes a  test and treat  plan to provide antiviral medication as soon as patients test positive  https   t co ,1
81,most americans are weary of covid   recent polling shows  but there s less consensus over how that exhaustion should translate into policy https   t co ,1
343,neil cavuto returned to host fox business after more than a month  telling viewers that his absence was because of covid  pneumonia that sent him to an intensive care unit    doctors say had i not been vaccinated at all  i wouldn t be here   he said  https   t co jwsafhsfvi,1
539,covid  live updates  u k  ends all restrictions  australia reopens borders after nearly two years  https   t co ,1
630,trump discovers obama was funding chinese lab that may have spawned the coronavirus,0
613,canadian lawmakers have voted to extend the emergency powers that police used to end weekslong blockades and other protests by truckers over covid  rules  prime minister justin trudeau said the powers are still needed to quell any further demonstrations  https   t co ktldxexuyx,1
199,the coronavirus was manmade  but a single country didnʼtmake it,0
396,china  the last major country to stick with a zero tolerance approach to covid   is now actively exploring ways to loosen controls https   t co ,1
87,first travel related case of  novel coronavirus detected in united states,0
186,walmart administered   of its vaccines against covid  in  medically underserved  areas of the u s  since the shots became widely available https   t co xkdvhdjdkz https   t co ,1
695,is it safe to donate blood during the outbreak  could someone get covid  from a blood transfusion ,0
621,breaking  police in canada say they have arrested at least  people and made progress in clearing out truckers who have paralyzed ottawa for three weeks in a protest against the country s covid  restrictions  https   t co ,1
463,overhyped coronavirus weaponized against trump,0
107,booster doses of the pfizer biontech and moderna coronavirus vaccines are safe  and they offer high levels of protection against severe covid  even though that protection can wane over time  according to two studies published by the cdc https   t co ,1
473,enormous resources and local cooperation enable china to suppress covid  infections with less disruption to life than in countries where the pandemic still rages  writes  gregip https   t co ,1
870,a banana a day keeps the coronavirus away,0
206,how does the coronavirus work ,0
260,pfizer and biontech are delaying their request to the food and drug administration to authorize a two dose series of their covid  vaccine for children under five  the companies said on friday  https   t co ,1
432,canadian banks have started to unlock financial accounts  valued in the millions of dollars  belonging to individuals who police say participated in or helped organize a weekslong protest in ottawa demanding an end to covid  pandemic related restrictions https   t co ,1
462,the fda review of pfizer s covid  vaccine in children under  years old was delayed after data suggested it was less effective against omicron than delta  people familiar  with the decision said https   t co ,1
1092,has covid  subverted global health ,0
703,how do you go about creating a vaccine against a new virus ,0
1124,how long does it take to recover ,0
466,police began arresting people protesting against covid  mandates  including two organizers of the freedom convoy  after promising imminent action to remove the weekslong encampment from the streets of ottawa https   t co ,1
632,the nation s top health official says the u s  is moving closer to the point that covid  is no longer a  constant crisis  as more cities  businesses and sports venues began lifting pandemic restrictions around the country  https   t co ,1
614,explosive new health ranger presentation streams live may      the depopulation trifecta  coronavirus  vaccines and ,0
377,should people who suffer from pollen allergy self isolate if they develop typical hay fever symptoms ,0
14,the us centers for disease control and prevention s new measure for determining community covid  levels and severity means that nearly   of the united states population lives in areas where masks are no longer required  https   t co cponlcfvsj,1
772,is there a vaccine available ,0
318,covid  coronavirus  a false pandemic  who is behind this  global economic  social and geopolitical destabilization,0
174,what precautions can i take when unpacking my groceries ,0
280,cvs reported more than   billion in quarterly profits thanks in part to a rush of customers being vaccinated against covid  or tested for the virus https   t co ,1
301,austria is abandoning its covid vaccine mandate  less than a week before the rule was due to be enforced   the law  which was passed in january  is  not proportionate  given the omicron variant s relatively mild symptoms  an official said  https   t co ,1
1021,here s how long the coronavirus will last on surfaces  and how to disinfect those surfaces,0
658,call your doctor if you are feeling sick,0
156,the disparity in covid  vaccination rates between urban and rural americans has more than doubled since april  with   of residents of urban counties having received at least one dose as of the end of january compared to just   in rural counties  according to the cdc  https   t co ,1
70,covid   commission creates first ever resceu stockpile of medical equipment,0
612,police in new zealand s capital of wellington say a protester drove a car toward a police line  narrowly avoiding officers  and other protesters sprayed officers with a stinging substance  the demonstration has centered on covid  vaccine mandates  https   t co ,1
887,covid  virus can be transmitted in areas with hot and humid climates,0
883,exposing yourself to the sun or to temperatures higher than  degrees does not prevent the coronavirus disease  covid  ,0
464,heard on the street  hong kong s covid  strategy is unraveling and the city is likely to witness significant fatalities soon  how the city reached this point says a lot about its changing politics and future as a business hub  https   t co ,1
137,philippine airlines is increasing its scheduled flights by   this month amid optimism tourism will recover as the country reopens its international borders and the government eases covid  restrictions https   t co ,1
662,as more places drop mask orders and other covid  precautions  there s new urgency in finding ways to protect up to  million americans with severely weak immune systems  vaccines don t always work for people who are immune compromised  https   t co ,1
527,covid  hospitalizations continued tracking downward in the u s   with the seven day average of patients with confirmed or suspected infections falling to about    down   from a peak in january https   t co ,1
775,my husband and i are in our   i m otherwise healthy  my husband is doing well but does have heart disease and diabetes  my grandkids  school has been closed for the next several weeks  we d like to help out by watching our grandkids but don t know if that would be safe for us  can you offer some guidance ,0
927,soldiers are on streets of philly  hauling off covid  patients to fema camps,0
255,j r  nyquist interviewed by mike adams  coronavirus  china  bioweapons and world war iii,0
953,hospital based intravenous vitamin c treatment for coronavirus and related illnesses,0
128, this is a trend that is a warning to us  a dire warning that we could be at capacities we never imagined   omicron may be declining across much of the us  but this south dakota hospital is still running an expanded icu in the midst of a covid  surge  https   t co jenecarksm,1
275,communist china has been militarizing biotechnology for years  so their engineering of the coronavirus is no surprise,0
975,why is the disease being called coronavirus disease   covid ,0
579,breaking  new evidence based on cell phone data records shows shutdown of wuhan virology lab in october   two months before outbreak  video ,0
610,virus update     hong kong orders mandatory covid  tests for all residents    canada lawmakers extend emergency powers for truck protests    boris johnson scraps remaining virus restrictions    queen still has mild covid symptoms   more coverage  https   t co ,1
499, we re not asking customers or the consumer ultimately to pay for our inefficiencies  we re asking them to pay for inflation   here s what business leaders are saying about pricing strategy  covid  and travel  https   t co ,1
19, i love my family  my kids and my wife more than i love myself  so when i would fight  i would fight for them   the father of seven said  https   t co pgxpexihro,1
270,the federal government s revenue surpassed expenses by   billion last month  marking its first monthly surplus since before the covid  pandemic began  https   t co ,1
1078,original source of covid  is an american military biological warfare laboratory,0
160,a new study of  patients suffering from long covid revealed that   had at least one diagnostic test finding consistent with nerve damage https   t co xemecffvmz,1
215,breaking  results of the first  patient randomized clinical trial show hydroxychloroquine helps coronavirus patients improve,0
680,the omicron wave is further proof that covid  will permanently change how societies function  write abhijit v  banerjee and esther duflo  now  world leaders particularly those from rich states must make robust investments to protect the most vulnerable   https   t co ,1
84,the two music festivals  which are held outside  will no longer require the covid  safety requirements  including testing https   t co ,1
609,fox news  neil cavuto has returned to work after more than a month following what he described as a near deadly battle with covid   cavuto says he was in an intensive care unit with covid  and pneumonia  https   t co ,1
578,experts say covid  has become a disease of the unvaccinated  in terms of deaths and severe illness  that bodes ill for low income countries  where fewer than   of people are fully vaccinated  compared to more than   in high income nations  https   t co ,1
218,transcript  dr  anthony fauci discusses coronavirus on  face the nation   april   ,0
1116,can coronavirus stick to clothes  do i need to wash my clothes right after encountering other people  like at the grocery store or while jogging ,0
406,president biden is expected to address ukraine  covid  and his build back better agenda when he speaks before congress tuesday evening  here s what to know about the state of the union  https   t co ,1
240,americans have less confidence in scientists than they did before the covid  pandemic began in   and trust has steadily declined over the course of the pandemic  a new pew research poll finds  https   t co ,1
94,tyrese gibson is mourning the death of his mother priscilla murray  who died on monday from covid  and pneumonia  according to the actor https   t co ,1
1093,immunomodulation in covid ,0
203,walmart administered   of its vaccines against covid  in  medically underserved  areas of the u s  since the shots became widely available https   t co  https   t co ,1
287,covid  raises risk of pregnancy complications including death around birth  preterm delivery and postpartum hemorrhage study finds https   t co  https   t co ,1
558,murder most foul  the perps behind covid ,0
637,depop tag team  anthony fauci joins bill gates in calling for  digital certificates  of coronavirus immunity,0
789,can covid  affect brain function ,0
557,two years ago  ecuador s largest city was battered by one of the world s deadliest outbreaks of covid   now it is facing an explosion of violence  https   t co mfwkzjxzun,1
474,fewer people say they are out of work for reasons having to do with covid   according to new u s  census data  a sign that the labor market impact of the omicron variant of the virus could be receding https   t co ,1
275,cvs reported more than   billion in quarterly profits thanks in part to a rush of customers being vaccinated against covid  or tested for the virus https   t co kgfhjvmzus,1
885,being able to hold your breath for  seconds or more without coughing or feeling discomfort does not mean you are free from the coronavirus disease  covid   or any other lung disease ,0
385,congressional negotiators were rushing to complete the text of legislation funding the government beyond friday  with the biden administration s request for   billion in aid to ukraine adding to pressure to meet a looming deadline  https   t co ,1
43,there have been an estimated  million covid  infections in the us  the cdc estimates  even though only   million cases have been reported as of january  https   t co ,1
636,american figure skater vincent zhou is out of quarantine and plans to perform in the exhibition gala that traditionally closes the olympics   before he contracted covid  and had to sit out the men s short program  zhou helped the u s  team win silver   https   t co ,1
672,unlike covid   antibiotic resistance has been spreading at a gradual pace  but antibiotic resistant infections already kill more than a million people annually  and the worst is yet to come  warn ramanan laxminarayan and  ukamrenvoy   https   t co ,1
87,the united states has a booster shot problem  as other nations hurtle ahead in their covid  vaccination programs  lagging uptake in the us of the third vaccine is concerning public health experts https   t co ,1
845,supply chain disruptions due to covid  and social distancing,0
716,could export goods transmit sars cov  infection around the world ,0
38,the national football league  nfl  and nfl players association  nflpa  have agreed to suspend all covid  protocols  effective immediately  according to a league wide memo sent thursday   https   t co ,1
1149,new name for disease caused by virus outbreak  covid ,0
350,no credible evidence supporting claims of the laboratory engineering of sars cov ,0
303,covid  shows no signs of going away  how do we live with the virus long term  the epidemiologist   billhanage and the psychologist  drsullivanatl join  apoorvanyc to answer your questions  join us now  https   t co  https   t co ,1
115,the us navy said that it has discharged  service members for refusing to get the covid  vaccine as required by the pentagon s vaccine mandate  https   t co ,1
376,how can we differentiate between hay fever pollen allergy related respiratory symptoms and covid  infection ,0
589,is it time to launch an investigation into the bill   melinda gates foundation for possible  crimes against humanity,0
376,austria was the first country in europe to adopt a universal covid  vaccination mandate  now it s backtracking  saying it will now suspend the measure based on findings showing that vaccines don t protect well against infections by omicron  https   t co ,1
1089,silent covid   what your skin can reveal,0
520,the number of people dying in britain with a recent positive covid  test is significantly overstating the true death toll from the virus for the first time  according to new data https   t co ,1
689,why is diabetes considered a risk for severe covid  ,0
241,the coronavirus  connection and coverup,0
815,how soon after i m infected with the new coronavirus will i start to be contagious ,0
413,white house officials had hoped to focus the state of the union on covid  recovery and president biden s accomplishments  now a foreign policy crisis will be front and center  https   t co ,1
824,how can i protect myself while caring for someone that may have covid  ,0
475,chinese leader xi jinping told hong kong s government to control a spiraling covid  outbreak that has overwhelmed the city s healthcare system https   t co ,1
783,do adults younger than  who are otherwise healthy need to worry about covid  ,0
251,this whole thing stinks ,0
1086,the covid  outbreak is not about a virus  it is about power,0
31,a convoy of vehicles lapped the washington  dc  beltway sunday morning to demand an end to covid  mandates and restrictions  https   t co ,1
306,ukraine is still grappling with covid as russia s invasion strains the country s health care systems and creates medical supply shortages  the who said  the agency has sent  oxygen tanks and other other supplies  https   t co ,1
481,rfk  jr  joins em radiation research trust in calling upon uk prime minister to halt  deployment,0
299,very good news  vitamin c iv drips are good for treating coronavirus patients  according to first medical reports from china,0
356,bars and restaurants in washington  d c   will no longer have to require masks indoors starting march   the mayor said monday  https   t co ,1
535,as states across the country are lifting covid  precautions such as mask mandates and some churches have dropped online services  the immunocompromised are weighing their risk of possible exposure in worship services  https   t co dxvoyxzash,1
180,roughly   million children around the world have lost a parent or caregiver to covid   according to a study published in the lancet child  amp  adolescent health medical journal  https   t co ,1
199,walmart administered   of its vaccines against covid  in  medically underserved  areas of the u s  since the shots became widely available https   t co  https   t co ,1
590, i have a mark that can never be erased    in somaliland  young women have been challenging the practice of female genital mutilation  which has deep cultural roots there  but covid  complicated prevention efforts as girls were kept home by lockdowns  https   t co  https   t co dhiufwddqz,1
491,the white house correspondents  association s gala is returning for the first time since the covid  pandemic began  trevor noah will host the event  set for april   https   t co ,1
171,who can donate plasma for covid  ,0
477,study shows direct correlation between  networks and  coronavirus  outbreaks,0
6,just in  police say arrests have been made and vehicles towed away following protests at a key us canada border crossing over covid  mandates https   t co ,1
250,covid  bioweapon,0
157,the cdc reports a covid  vaccination disparity between rural and urban areas  with   of residents of urban counties having received at least one dose as of the end of january compared to just   in rural counties  https   t co  https   t co ,1
224,covid  protocols on film and tv sets throughout the country will remain in place through april   the major hollywood unions announced wednesday  as california and other states relax their restrictions and mask mandates  https   t co ,1
411,false claim  bill gates wants to microchip people  anthony fauci wants people to carry vaccination certificates,0
263,two senior federal reserve staffers reported a series of financial trades as the central bank was putting in place historic levels of stimulus to prop up the economy at the onset of the covid  pandemic in   according to reports  https   t co ,1
86,the biden administration has informed key lawmakers that it will likely need   billion in supplemental funding to continue the fight against covid   a source familiar with the matter said https   t co ,1
551,covid  live updates  cdc to quickly roll out  million doses if vaccine for young children is authorized  https   t co ,1
463,amid the omicron wave in january  a record number of patients in hospitals had covid  they caught while there  a wall street journal analysis found https   t co tetxdhmagi,1
169,what are the symptoms of covid  ,0
613,must see infographic  the  death science  depopulation trifecta   biological weapons  vaccines and   all aimed at humanity,0
564,what should i do if i or someone in my  household is sick with covid  ,0
418,while covid  restrictions prompted an exodus of mothers from the u s  labor force  working moms in the u k  have found new working arrangements to their liking https   t co ,1
1130,a new entry in the race for a coronavirus vaccine  hope,0
893,thermal scanners cannot detect covid ,0
96,super flu or a mild cold ,0
37,the director of the us centers for disease control and prevention on thursday rebuked florida gov  ron desantis for recently scolding a group of high school students who were wearing masks to protect against covid   https   t co qqzazgpfsb,1
579,the country with the most confirmed covid  deaths is the united states  with close to  million  daily u s  cases  hospitalizations and deaths have been trending downward over the last month  https   t co ,1
61,israel plans to open its borders to all tourists  no matter their covid  vaccination status  starting march  https   t co ,1
891,are hand dryers effective in killing the new coronavirus ,0
231,americans have less confidence in scientists than they did before the covid  pandemic began in   and trust has steadily declined over the course of the pandemic  a new pew research poll finds  https   t co ,1
486,the white house correspondents  association s gala is returning for the first time since the covid  pandemic began  trevor noah will host the event  set for april   https   t co ,1
313, it s time to reopen our city   mayor eric adams said on friday  when he announced that new york city was ending its mask mandate for public schools and a proof of vaccination requirement for indoor dining  gyms and entertainment venues  https   t co qqgmjdnptc https   t co ,1
111,nfl chief medical officer dr  allen stills tells cnn s sanjay gupta he is confident the country can learn from the nfl how to better navigate the covid  pandemic going forward https   t co  https   t co ,1
698,can the new coronavirus be transmitted via paper money ,0
854,hot air from saunas  hair dryers won t prevent or treat covid ,0
1031,prevention,0
637,the biden administration is seeking an additional   billion from congress to pay for the fight against covid   including for vaccines and treatments  testing and plans for future variants  https   t co ,1
876,gargling water with salt will eliminate coronavirus,0
165,coronavirus outbreak and kids,0
426,covid  brought some families together and divided others  as case counts fall  many people want a fresh start but are unsure how to begin  https   t co ,1
575,covid  is a biological weapon created by bill gates  george soros and the  deep state ,0
77,more than  million households have received their free home covid  tests from the federal government  a senior white house adviser says https   t co ,1
7,the fda is postponing an advisory panel meeting on authorizing pfizer s covid  vaccine in children under   https   t co ,1
357,risk assessment on covid ,0
679,can we see other families at all ,0
447,for the first time in over three weeks  downtown ottawa was largely deserted sunday  with the heavy duty trucks and thousands of freedom convoy protesters demanding an end to covid  vaccine mandates replaced by police vehicles https   t co ,1
748,study finds nearly everyone who recovers from covid  makes coronavirus antibodies,0
977,how can people help stop stigma related to covid  ,0
267,pregnant people infected with covid appear to be more likely to experience serious complications or die during pregnancy than those who aren t infected with the coronavirus  according to new peer reviewed research published in jama  https   t co ,1
770,should i wear a face mask ,0
788,does covid  cause strokes  what about blood clots in other parts of the body ,0
691,does an overreaction by the immune system play a role in covid  deaths  or are they caused strictly by damage inflicted by the virus itself ,0
385, what is the risk of getting covid  while exercising ,0
692,the wealthy have already learned how to live with covid   albeit at a very high cost   now the rest of the world must figure out how to do the same  on a budget   yasmeenserhan writes   https   t co ekyzoerkps,1
311,covid  shows no signs of going away  how do we live with the virus long term  the epidemiologist  billhanage and the psychologist  drsullivanatl join  apoorvanyc on tuesday  march   at   p m  et to answer your questions  dm them to  nytimesevents  https   t co mucuxfebyx,1
608,south korea has approved pfizer s covid  vaccine for children aged  to   expanding the country s immunization program in the face of a massive omicron outbreak that is driving up hospitalizations and deaths  https   t co ,1
1113,what s convalescent plasma therapy  do plasma donors and their recipients have to have the same blood type for this treatment ,0
1024,how are people being infected with covid  ,0
336,breaking news  los angeles county will remove its indoor mask mandate for people who are fully vaccinated against the coronavirus  officials said  https   t co flohhzpexf,1
102,if you re planning to travel to las vegas  here s what you ll need to know  https   t co ,1
54,aaron rodgers has apologized to his  loved ones  who got caught  in the middle of  the attention directed at him after his covid  comments earlier in the season https   t co ,1
19,cold weather and snow cannot kill the new coronavirus,0
415,community health workers are pushing to deliver at home tests and advance education to some people most vulnerable to covid  https   t co ,1
375,democratic house leaders said they would remove a contentious    billion covid  aid provision from the omnibus spending bill to try to get it over the finish line https   t co ,1
562,if you are  years old  almost all of your high school career has been lived under the shadow of covid   in a new photography series  young people open up about how lockdown has changed their lives  https   t co ,1
190,after two years of wrestling with the covid  pandemic  the aviation industry is once again poised for a decade of growth https   t co  https   t co ,1
565,even before the covid  crisis  global instability had caused a worrying rise in epidemics  medical science alone won t be able to turn the tide  https   t co ,1
303,shanghai government officially recommends vitamin c for covid ,0
397,car crashes killed   people around the u s  in   according to final federal data  a    increase from the prior year https   t co ,1
460,coronavirus is not in the flu shot,0
158,florida governor desantis scolds students for wearing face masks to prevent covid  https   t co  https   t co ,1
829,is there an antiviral treatment for covid  ,0
642,evidence points to coronavirus sars cov  being of natural origin  no evidence it could have been intentionally propagated,0
436,the ba  type of the omicron covid  variant is seen as   more infectious than the original omicron and now dominates in some countries https   t co ,1
334,why the coronavirus is so confusing,0
594,who made coronavirus  was it the u s   israel or china itself ,0
409,new orleans is celebrating mardi gras  after the city s signature event was canceled last year due to covid  concerns  trying to jump start and adapt the annual event has produced mixed reactions  https   t co ,1
90,information for healthcare professionals  covid  and underlying conditions,0
592, i have a mark that can never be erased     in somaliland  young women have been challenging the practice of female genital mutilation  which has deep cultural roots there and elsewhere  but covid  complicated prevention efforts    https   t co otrwzfecbg,1
5,canadian prime minister justin trudeau says the federal government is invoking the emergencies act  to supplement provincial and territorial capacity to address the blockages and occupations  connected to protests over covid  health measures  https   t co ,1
833,are chloroquine hydroxychloroquine and azithromycin safe and effective for treating covid  ,0
537, will enable nightmare surveillance grid that humans won t be able to opt out of,0
1035,clinic s approach to the virus mimics its same approach to different strains of the flu   a high dose shot of vitamin  and iv infusions of vitamin c megadoses,0
344,pentagon study  flu shot raises risk of coronavirus by  ,0
797,how long can the coronavirus that causes covid  survive on surfaces ,0
244,as more and more countries ease covid restrictions and prepare to  live with the virus   experts warn covid  will remain a permanent fixture in our lives and could still cause widespread and serious disease https   t co ,1
12,as covid  cases continue to fall and state and local governments lift remaining pandemic restrictions  many offices are asking employees to return to in person work  https   t co ,1
237,canadian protesters were leaving the blockade at the border crossing connecting alberta and montana tuesday  but those at the bridge linking manitoba and north dakota continued to protest the country s covid  vaccine mandates  https   t co ,1
689,today in the atlantic  what the west got wrong about vladimir putin and volodymyr zelensky  by  eliotacohen  plus  joe biden s biggest state of the union challenge  and the case for testing beyond covid   https   t co gficrplync https   t co ,1
365,russia reported a daily record of   new coronavirus cases on friday  the increase in omicron driven cases is a reminder that the country s population remains vulnerable  though deaths were far lower than their november peak  https   t co ,1
863,all you need to cure the  coronavirus is a little sunshine ,0
636,exclusive  robert f kennedy jr  drops bombshells on dr  fauci for medical cover ups and fraud  fauci  poisoned an entire generation of americans ,0
745,two stories indicate coronavirus herd immunity,0
502,getting to know her patients is the best part of nurse nikki s job   when you fight so hard for someone you want them to live   she said   it s like a punch in the stomach  when they die  https   t co ,1
957,reports  deep state  china use covid  for population control,0
73,police in ottawa are making clear they are prepared to end a protest over covid  regulations which has shut down portions of the capital and impaired the daily lives of residents for nearly three weeks https   t co ,1
333,are black people really safe from coronavirus because of melanin ,0
396,eu left italy  practically alone  to fight coronavirus  so rome looked for help elsewhere  incl russia   ex fm frattini to rt,0
81,the slums of southern europe  the new slave market of the eu  and the coronavirus,0
242,levi strauss  chief marketer jennifer sey has resigned from her position  claiming she was forced out after voicing her opinion that schools should remain open during the covid  pandemic https   t co ,1
256,special report  mike adams joins alex jones to reveal how coronavirus is an engineered weapon to destroy the western world,0
690, the south korean public has generally been willing to follow the government s pandemic guidelines  perhaps because the country s covid  response has been largely expert led and depoliticized    urilf writes  https   t co ,1
252,a newly published study suggests a link between vitamin d deficiency and severity of disease from covid  infection  https   t co ytxpizdzau,1
650,stay home,0
488,romance scams  like the one featured in netflix s  the tinder swindler   are becoming more common  fueled by covid  and cryptocurrency https   t co jheuaaszto,1
489,shanghai government officially recommends vitamin c for covid ,0
66,as the world approaches the second anniversary of the declaration of the covid  pandemic by the world health organization  more nations are rolling out  or are discussing the possibility of a fourth dose of coronavirus vaccines for their most vulnerable  https   t co ,1
586,why are covid  vaccination rates still low in some countries  limited supplies remain a problem  but other challenges include unpredictable deliveries  weak health care systems and vaccine hesitancy  https   t co jcftqqbxkv,1
397,italy s coronavirus outbreak  could have happened anywhere ,0
1013,hospitals get paid more to list patients as covid  and three times as much if the patient goes on ventilator,0
548,solving the wuhan  covid  mystery,0
330,breaking news  california  oregon and washington will stop requiring masks in schools after march   the governors of the three states said  https   t co ,1
110,francis boyle speaks out about novel coronavirus,0
558,president biden emphasized unity at tonight s  sotu address   we ve reached a new moment in the fight against covid    he said   we can t change how divided we ve been        but we can change how we move forward   https   t co rlntzrbnim,1
164,a new study shows the johnson  amp  johnson covid  vaccine was far less effective at keeping people out of the hospital than the pfizer shot  https   t co ,1
980,covid  background,0
532,global covid  death toll tops  million  another grim milestone in the pandemic https   t co ,1
158,biolab for  most dangerous pathogens on earth  opened in wuhan before outbreak,0
616,can  exposure alter the structure and function of hemoglobin  causing coronavirus patients to die from oxygen deprivation ,0
106,miles guo  ccp ordered guo deyin to create wuhan coronavirus,0
368,what are the symptoms of covid  infection,0
50,covid  is killing more people now than during most of the pandemic  here s who s still at risk https   t co ,1
324,the white house s new coronavirus response strategy has four main goals  protecting against and treating covid   preparing for new variants  avoiding shutdowns  and fighting the virus abroad  https   t co ,1
168,a new study shows the johnson  amp  johnson covid  vaccine was far less effective at keeping people out of the hospital than the pfizer shot  https   t co rxaqopkyvk,1
523,new york state is dropping its indoor masking requirements  a move that follows similar steps by other states to scale back covid  policies https   t co sjbqgavcsj,1
626,recent declines in covid  cases have cities  businesses and venues lifting pandemic restrictions  u s  health officials said wednesday that the nation is moving closer to a point where covid  is no longer  a constant crisis   https   t co ojtclxdrzg,1
149,the visual link between  deployment and cases of coronavirus across the word,0
1050,mainstream narrative censors any attempts to contain hysteria over covid ,0
337,italy will allow its pandemic state of emergency to expire on march   prime minister mario draghi said on wednesday  the time had come for a gradual return to normal conditions  he said  with schools kept open and quarantine rules relaxed  https   t co ,1
549,covid  live updates   freedom convoy  style protests against vaccine mandates reach europe and beyond  https   t co gytyttctmz,1
325,senator tim kaine of virginia  who said he still experiences mild symptoms of long covid  introduced a new bill with senators tammy duckworth of illinois and ed markey of massachusetts  that calls for expanding and accelerating research into long covid  https   t co ,1
1012,us hospitals getting paid more to label cause of death as  coronavirus ,0
117,a federal appeals court said it would not reinstate president joe biden s covid  vaccine mandate for federal employees while it reviews a lower court s order putting the requirement on hold https   t co ,1
542,coronavirus pt    never let a good crisis go to waste   replay,0
623,exclusive  robert f kennedy jr  drops bombshells on dr  fauci for medical cover ups and fraud,0
827,what is convalescent plasma  how could it help people with covid  ,0
357,new york city fired   city workers   less than   of its workforce   on friday for failing to comply with its vaccine mandate  https   t co ,1
418, technology wake up call,0
811,how is someone tested for covid  ,0
438,more people are taking their health into their own hands as the covid  pandemic has made it more difficult to see a doctor and get tests done  here are the pros and cons of do it yourself healthcare tools like apps  gadgets and home tests  https   t co elixxiamwe,1
628,past coronavirus research grants are being used to smear anthony fauci,0
513,coronavirus tips  here are the best ways to immediately treat a viral infection,0
401,saying the u s  has  reached a new moment in the fight against covid    president biden announced a  test to treat  initiative so people can get tested at a pharmacy  and if they re positive  receive antiviral pills on the spot  sotu  corrects link  https   t co mdgjxgxiaj,1
282,pregnant people infected with covid appear to be more likely to experience serious complications or die during pregnancy than those who aren t infected with the coronavirus  according to new peer reviewed research published in jama  https   t co ,1
40,the united states can  move forward safely  into a less disruptive phase of the pandemic  a maskless us president joe biden said in his first state of the union address  in which he outlined his plan to emerge from the covid  pandemic    https   t co ,1
1136,what the structure of the coronavirus can tell us,0
33,some of the small groups representing communities of color that were contracted as part of a nih covid  outreach project tell cnn they have not been paid properly https   t co ,1
